sample_id,study,condition,strain description,strain,culture type,evolved sample,base media,temperature (c),pH,carbon source (g/L),nitrogen source (g/L),electron acceptor,trace element mixture,supplement,antibiotic for selection,growth rate (1/hr),isolate type,additional details,biological replicates,doi,run_date,n_replicates
cck_pgi__pgi_ale4__3,CCK_pgi,pgi_ale4,Escherichia coli CCK_PGI.4.111.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,3,,7/30/2014,3
cck_pgi__pgi_ale5__1,CCK_pgi,pgi_ale5,Escherichia coli CCK_PGI.5.109.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,7/31/2014,2
cck_pgi__pgi_ale5__2,CCK_pgi,pgi_ale5,Escherichia coli CCK_PGI.5.109.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,7/31/2014,2
cck_pgi__pgi_ale6__1,CCK_pgi,pgi_ale6,Escherichia coli CCK_PGI.6.110.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,7/31/2014,2
cck_pgi__pgi_ale6__2,CCK_pgi,pgi_ale6,Escherichia coli CCK_PGI.6.110.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,7/31/2014,2
cck_pgi__pgi_ale7__1,CCK_pgi,pgi_ale7,Escherichia coli CCK_PGI.7.97.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/1/2014,2
cck_pgi__pgi_ale7__2,CCK_pgi,pgi_ale7,Escherichia coli CCK_PGI.7.97.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/1/2014,2
cck_pgi__pgi_ale8__1,CCK_pgi,pgi_ale8,Escherichia coli CCK_PGI.8.110.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/1/2014,2
cck_pgi__pgi_ale8__2,CCK_pgi,pgi_ale8,Escherichia coli CCK_PGI.8.110.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/1/2014,2
cck_sdh__gmos_delsdhCB__1,CCK_sdhCB,gmos_delsdhCB,Escherichia coli GLU.4.403.1 del_sdhC del_sdhB,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,7/16/2014,2
cck_sdh__gmos_delsdhCB__2,CCK_sdhCB,gmos_delsdhCB,Escherichia coli GLU.4.403.1 del_sdhC del_sdhB,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,7/16/2014,2
cck_sdh__sdh_ale1__1,CCK_sdhCB,sdh_ale1,Escherichia coli CCK_SDH.1.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/13/2014,2
cck_sdh__sdh_ale1__2,CCK_sdhCB,sdh_ale1,Escherichia coli CCK_SDH.1.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/13/2014,2
cck_sdh__sdh_ale2__1,CCK_sdhCB,sdh_ale2,Escherichia coli CCK_SDH.2.178.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/14/2014,1
cck_sdh__sdh_ale3__2,CCK_sdhCB,sdh_ale3,Escherichia coli CCK_SDH.3.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/14/2014,3
cck_sdh__sdh_ale3__1,CCK_sdhCB,sdh_ale3,Escherichia coli CCK_SDH.3.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/14/2014,3
cck_sdh__sdh_ale3__3,CCK_sdhCB,sdh_ale3,Escherichia coli CCK_SDH.3.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/14/2014,3
cck_pts__gmos_delptsHIcrr__2,CCK_ptsHIcrr,gmos_delptsHIcrr,Escherichia coli GLU.4.403.1 del_ptsH del_ptsI del_crr,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,7/18/2014,2
cck_pts__gmos_delptsHIcrr__1,CCK_ptsHIcrr,gmos_delptsHIcrr,Escherichia coli GLU.4.403.1 del_ptsH del_ptsI del_crr,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,7/18/2014,2
cck_pts__pts_ale1__2,CCK_ptsHIcrr,pts_ale1,Escherichia coli CCK_PTS.1.131.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/4/2014,2
cck_pts__pts_ale1__1,CCK_ptsHIcrr,pts_ale1,Escherichia coli CCK_PTS.1.131.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/4/2014,2
cck_pts__pts_ale2__2,CCK_ptsHIcrr,pts_ale2,Escherichia coli CCK_PTS.2.135.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/4/2014,2
cck_pts__pts_ale2__1,CCK_ptsHIcrr,pts_ale2,Escherichia coli CCK_PTS.2.135.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/4/2014,2
cck_pts__pts_ale3__2,CCK_ptsHIcrr,pts_ale3,Escherichia coli CCK_PTS.3.138.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/5/2014,2
cck_pts__pts_ale3__1,CCK_ptsHIcrr,pts_ale3,Escherichia coli CCK_PTS.3.138.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/5/2014,2
cck_pts__pts_ale4__2,CCK_ptsHIcrr,pts_ale4,Escherichia coli CCK_PTS.4.142.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,3,,8/5/2014,2
cck_pts__pts_ale4__1,CCK_ptsHIcrr,pts_ale4,Escherichia coli CCK_PTS.4.142.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,3,,8/5/2014,2
cck_gnd__gmos_delgnd__1,CCK_gnd,gmos_delgnd,Escherichia coli GLU.4.403.1 del_gnd,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,7/15/2014,2
cck_gnd__gmos_delgnd__2,CCK_gnd,gmos_delgnd,Escherichia coli GLU.4.403.1 del_gnd,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,7/15/2014,2
cck_gnd__gnd_ale1__1,CCK_gnd,gnd_ale1,Escherichia coli CCK_GND.1.170.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/12/2014,2
cck_gnd__gnd_ale1__2,CCK_gnd,gnd_ale1,Escherichia coli CCK_GND.1.170.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/12/2014,2
cck_gnd__gnd_ale2__1,CCK_gnd,gnd_ale2,Escherichia coli CCK_GND.2.169.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/12/2014,2
cck_gnd__gnd_ale2__2,CCK_gnd,gnd_ale2,Escherichia coli CCK_GND.2.169.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/12/2014,2
cck_gnd__gnd_ale3__1,CCK_gnd,gnd_ale3,Escherichia coli CCK_GND.3.171.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/14/2014,2
cck_gnd__gnd_ale3__2,CCK_gnd,gnd_ale3,Escherichia coli CCK_GND.3.171.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/13/2014,2
cck_tpiA__gmos_deltpiA__1,CCK_tpiA,gmos_deltpiA,Escherichia coli GLU.4.403.1 del_tpiA,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,7/21/2014,2
cck_tpiA__gmos_deltpiA__2,CCK_tpiA,gmos_deltpiA,Escherichia coli GLU.4.403.1 del_tpiA,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,7/21/2014,2
cck_tpiA__tpiA_ale1__1,CCK_tpiA,tpiA_ale1,Escherichia coli CCK_TPIA.1.89.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/7/2014,2
cck_tpiA__tpiA_ale1__2,CCK_tpiA,tpiA_ale1,Escherichia coli CCK_TPIA.1.89.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/7/2014,2
cck_tpiA__tpiA_ale2__1,CCK_tpiA,tpiA_ale2,Escherichia coli CCK_TPIA.2.89.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/7/2014,2
cck_tpiA__tpiA_ale2__2,CCK_tpiA,tpiA_ale2,Escherichia coli CCK_TPIA.2.89.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/7/2014,2
cck_tpiA__tpiA_ale3__1,CCK_tpiA,tpiA_ale3,Escherichia coli CCK_TPIA.3.88.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/11/2014,2
cck_tpiA__tpiA_ale3__2,CCK_tpiA,tpiA_ale3,Escherichia coli CCK_TPIA.3.88.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/11/2014,2
cck_tpiA__tpiA_ale4__1,CCK_tpiA,tpiA_ale4,Escherichia coli CCK_TPIA.4.88.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/11/2014,2
cck_tpiA__tpiA_ale4__2,CCK_tpiA,tpiA_ale4,Escherichia coli CCK_TPIA.4.88.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,2,,8/11/2014,2
acid_tale__acid_ale1_pH7__1,pH ALE,acid_ale1_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__acid_ale1_pH7__2,pH ALE,acid_ale1_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__acid_ale1_pH5__1,pH ALE,acid_ale1_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__acid_ale1_pH5__2,pH ALE,acid_ale1_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__acid_ale2_pH7__1,pH ALE,acid_ale2_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__acid_ale2_pH7__2,pH ALE,acid_ale2_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__acid_ale2_pH5__1,pH ALE,acid_ale2_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__acid_ale2_pH5__2,pH ALE,acid_ale2_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__low_Mg_ale_pH7__1,pH ALE,low_Mg_ale_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__low_Mg_ale_pH7__2,pH ALE,low_Mg_ale_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__low_Mg_ale_pH5__1,pH ALE,low_Mg_ale_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__low_Mg_ale_pH5__2,pH ALE,low_Mg_ale_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__MES_ale_pH7__1,pH ALE,MES_ale_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__MES_ale_pH7__2,pH ALE,MES_ale_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__MES_ale_pH5__1,pH ALE,MES_ale_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__MES_ale_pH5__2,pH ALE,MES_ale_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__gmos_pH7__1,pH ALE,gmos_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__gmos_pH7__2,pH ALE,gmos_pH7,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__gmos_pH5__1,pH ALE,gmos_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
acid_tale__gmos_pH5__2,pH ALE,gmos_pH5,GMOS,GMOS,Batch,Endpoint,M9,37,5.5,glucose(4),NH4Cl(1),O2,,,,,,,2,,2/1/2019,2
adnB__wt_adn__1,adnB,wt_adn,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(.2%),NH4Cl(1),O2,,adenosine(),,,,,2,,12/18/2019,2
adnB__wt_adn__2,adnB,wt_adn,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(.2%),NH4Cl(1),O2,,adenosine(),,,,,2,,12/18/2019,2
adnB__delydhB_adn__1,adnB,delydhB_adn,Escherichia coli K-12 MG1655 del_ydhB,MG1655,Batch,No,M9,37,7,glucose(.2%),NH4Cl(1),O2,,adenosine(),,,,,2,,12/18/2019,2
adnB__delydhB_adn__2,adnB,delydhB_adn,Escherichia coli K-12 MG1655 del_ydhB,MG1655,Batch,No,M9,37,7,glucose(.2%),NH4Cl(1),O2,,adenosine(),,,,,2,,12/18/2019,2
ytf2__wt_glc__1,yTF 2,wt_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__wt_glc__2,yTF 2,wt_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__ybcM_glc__1,yTF 2,ybcM_glc,Escherichia coli K-12 MG1655 del_ybcM,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__ybcM_glc__2,yTF 2,ybcM_glc,Escherichia coli K-12 MG1655 del_ybcM,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__ydhB_glc__1,yTF 2,ydhB_glc,Escherichia coli K-12 MG1655 del_ydhB,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__ydhB_glc__2,yTF 2,ydhB_glc,Escherichia coli K-12 MG1655 del_ydhB,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__yfeC_glc__1,yTF 2,yfeC_glc,Escherichia coli K-12 MG1655 del_yfeC,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__yfeC_glc__2,yTF 2,yfeC_glc,Escherichia coli K-12 MG1655 del_yfeC,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__yciT_glc__1,yTF 2,yciT_glc,Escherichia coli K-12 MG1655 del_yciT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__yciT_glc__2,yTF 2,yciT_glc,Escherichia coli K-12 MG1655 del_yciT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__ydiZ_glc__1,yTF 2,ydiZ_glc,Escherichia coli K-12 MG1655 del_ydiZ,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__ydiZ_glc__2,yTF 2,ydiZ_glc,Escherichia coli K-12 MG1655 del_ydiZ,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__ynfL_glc__1,yTF 2,ynfL_glc,Escherichia coli K-12 MG1655 del_ynfL,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf2__ynfL_glc__2,yTF 2,ynfL_glc,Escherichia coli K-12 MG1655 del_ynfL,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,,,,,,,2,,7/15/2020,2
ytf3__wt_glc2__1,yTF 3,wt_glc2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,5/21/2020,2
ytf3__wt_glc2__2,yTF 3,wt_glc2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,5/21/2020,2
ytf3__wt_pH7_lactate__1,yTF 3,wt_pH7_lactate,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,sauer trace element mixture,lactic acid(5),,,,,2,,5/21/2020,2
ytf3__wt_pH7_lactate__2,yTF 3,wt_pH7_lactate,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,sauer trace element mixture,lactic acid(5),,,,,2,,5/21/2020,2
ytf3__wt_pH55_lactate__1,yTF 3,wt_pH55_lactate,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,5.5,glucose,NH4Cl(1),O2,sauer trace element mixture,lactic acid(5),,,,,2,,5/21/2020,2
ytf3__wt_pH55_lactate__2,yTF 3,wt_pH55_lactate,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,5.5,glucose,NH4Cl(1),O2,sauer trace element mixture,lactic acid(5),,,,,2,,5/21/2020,2
ytf3__wt_pH55_HCl__1,yTF 3,wt_pH55_HCl,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,5.5,glucose,NH4Cl(1),O2,sauer trace element mixture,HCl(3),,,,,2,,5/21/2020,2
ytf3__wt_pH55_HCl__2,yTF 3,wt_pH55_HCl,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,5.5,glucose,NH4Cl(1),O2,sauer trace element mixture,HCl(3),,,,,2,,5/21/2020,2
ytf3__dyieP_pH7__1,yTF 3,dyieP_pH7,Escherichia coli K-12 MG1655 delyieP,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,5/21/2020,2
ytf3__dyieP_pH7__2,yTF 3,dyieP_pH7,Escherichia coli K-12 MG1655 delyieP,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,5/21/2020,2
ytf3__dyieP_pH55__1,yTF 3,dyieP_pH55,Escherichia coli K-12 MG1655 delyieP,MG1655,Batch,No,M9,37,5.5,glucose,NH4Cl(1),O2,sauer trace element mixture,lactic acid(5),,,,,2,,5/21/2020,2
ytf3__dyieP_pH55__2,yTF 3,dyieP_pH55,Escherichia coli K-12 MG1655 delyieP,MG1655,Batch,No,M9,37,5.5,glucose,NH4Cl(1),O2,sauer trace element mixture,lactic acid(5),,,,,2,,5/21/2020,2
minicoli__aldA_f1c2__1,Minicoli,aldA_f1c2,Escherichia coli DGF-298 +aldA,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,1
minicoli__aldA_minE__1,Minicoli,aldA_minE,Escherichia coli DGF-298 +aldA,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,1
minicoli__mg1655_glc__1,Minicoli,mg1655_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__mg1655_glc__2,Minicoli,mg1655_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_cyt__1,Minicoli,minE_cyt,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_cyt__2,Minicoli,minE_cyt,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_fruc__1,Minicoli,minE_fruc,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_fruc__2,Minicoli,minE_fruc,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_glc__1,Minicoli,minE_glc,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_glc__2,Minicoli,minE_glc,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_glyc__1,Minicoli,minE_glyc,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_glyc__2,Minicoli,minE_glyc,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_Fe_starve__1,Minicoli,minE_Fe_starve,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_Fe_starve__2,Minicoli,minE_Fe_starve,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_LB__1,Minicoli,minE_LB,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_LB__2,Minicoli,minE_LB,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_N_starve__1,Minicoli,minE_N_starve,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_N_starve__2,Minicoli,minE_N_starve,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_osm__1,Minicoli,minE_osm,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_osm__2,Minicoli,minE_osm,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_ph5__1,Minicoli,minE_ph5,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,5,,,,,,,,,,,,5/1/2019,2
minicoli__minE_ph5__2,Minicoli,minE_ph5,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,5,,,,,,,,,,,,5/1/2019,2
minicoli__minE-pyr__1,Minicoli,minE-pyr,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE-pyr__2,Minicoli,minE-pyr,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_sorb__1,Minicoli,minE_sorb,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_sorb__2,Minicoli,minE_sorb,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_urid__1,Minicoli,minE_urid,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__minE_urid__2,Minicoli,minE_urid,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__W3110_cyt__1,Minicoli,W3110_cyt,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__W3110_cyt__2,Minicoli,W3110_cyt,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__W3110_glc__1,Minicoli,W3110_glc,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__W3110_glc__2,Minicoli,W3110_glc,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__W3110_glyc__1,Minicoli,W3110_glyc,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__W3110_glyc__2,Minicoli,W3110_glyc,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__W3110_Fe_starve__1,Minicoli,W3110_Fe_starve,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
minicoli__W3110_Fe_starve__2,Minicoli,W3110_Fe_starve,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,,,5/1/2019,2
